ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-1.66,-9.57,-0.48,0.02,-0.02,-0.15,-19.64,-15.54,-58.99,6824
-1.70,-9.73,-0.55,-0.05,-0.03,-0.15,-20.29,-15.62,-59.13,6858
-1.25,-9.85,-0.55,0.07,0.06,-0.11,-20.32,-15.21,-58.86,6892
-1.34,-9.57,-0.04,0.13,0.03,-0.12,-19.77,-15.52,-58.58,6926
-0.16,-9.70,-0.51,-0.05,0.04,-0.11,-19.67,-16.57,-59.02,6960
-1.93,-9.20,0.52,0.12,0.62,-0.04,-18.30,-16.47,-58.75,6995
-2.66,-10.45,-0.42,-0.22,0.73,-0.03,-17.28,-16.21,-59.35,7029
-2.70,-9.56,-0.82,0.09,0.79,0.08,-16.75,-16.35,-59.97,7063
-2.89,-9.51,-0.87,0.12,0.63,0.04,-16.14,-16.35,-60.46,7097
-2.08,-9.76,-0.55,0.13,0.80,-0.05,-14.98,-16.57,-61.06,7131
-1.00,-9.83,-0.39,0.07,0.99,-0.23,-13.42,-16.38,-61.62,7166
0.67,-10.25,0.61,0.12,1.80,-0.48,-12.51,-17.38,-61.78,7200
-1.22,-9.90,0.12,0.04,1.90,-0.98,-8.81,-17.70,-62.25,7234
-1.46,-9.86,-1.77,-0.09,1.67,-1.39,-6.75,-17.00,-62.36,7268
-3.77,-9.05,-4.58,-0.21,0.78,-1.56,-5.32,-17.66,-63.27,7302
-0.20,-10.40,-4.16,-0.61,0.39,-1.37,-4.79,-17.14,-63.93,7336
-3.43,-10.31,0.18,0.05,0.26,-1.34,-3.51,-17.07,-63.78,7371
0.10,-8.76,0.43,0.14,-0.54,-1.40,-4.21,-17.44,-64.00,7405
-0.55,-8.87,0.27,0.07,-0.59,-1.06,-4.49,-17.63,-63.37,7439
-0.23,-9.64,-0.22,-0.14,-0.17,-0.77,-5.35,-17.38,-63.30,7473
0.35,-10.28,1.31,-0.20,-0.35,-0.62,-5.17,-17.38,-63.04,7507
1.37,-10.78,-2.90,0.08,-0.44,-0.37,-5.74,-17.33,-63.04,7541
1.97,-9.63,-2.14,0.13,-0.41,-0.16,-6.66,-17.13,-62.95,7576
3.45,-9.30,-1.80,0.21,-0.50,-0.15,-6.68,-17.29,-63.05,7610
3.91,-9.57,-0.53,0.37,-0.97,0.17,-7.54,-17.10,-62.48,7644
4.83,-9.26,-1.00,0.54,-1.08,0.12,-9.62,-17.19,-62.72,7678
3.46,-8.57,-3.58,0.47,-0.66,0.26,-10.19,-17.74,-62.07,7712
3.11,-8.51,-3.14,0.51,-0.43,0.27,-10.38,-17.96,-61.66,7747
2.32,-8.65,-2.75,0.42,-0.23,0.07,-10.65,-18.61,-61.87,7781
1.34,-8.65,-2.77,0.31,0.01,-0.24,-10.65,-18.56,-61.44,7815
-0.28,-10.28,-0.04,0.31,0.48,-0.28,-10.70,-18.81,-61.77,7849
-0.65,-11.30,-0.09,0.31,0.50,-0.32,-9.79,-19.19,-61.84,7883
-0.72,-12.12,0.38,0.64,0.97,-0.09,-8.52,-19.77,-62.01,7917
-4.16,-10.93,-0.25,0.93,1.10,0.06,-7.21,-20.36,-62.23,7952
-4.16,-12.31,-3.84,1.01,2.46,0.54,-4.56,-21.69,-61.90,7986
-5.72,-13.49,-7.80,0.85,3.09,0.92,0.73,-22.81,-62.93,8020
6.92,-15.24,-5.77,0.81,2.55,1.24,3.71,-24.38,-62.23,8054
6.39,-11.44,-10.71,-0.02,3.06,-0.40,7.42,-25.30,-61.17,8088
3.31,-7.01,-2.54,-0.84,0.15,-0.85,9.62,-24.64,-61.08,8123
2.95,-5.11,-2.60,-1.15,-1.31,-0.90,9.05,-23.33,-61.39,8157
4.93,-3.79,-1.81,-1.63,-2.76,-0.44,6.01,-21.46,-61.55,8191
5.31,-5.30,-0.18,-1.94,-2.69,0.26,2.76,-19.99,-63.37,8225
4.94,-6.17,2.21,-1.46,-2.33,0.77,-0.70,-18.28,-63.67,8259
6.39,-8.64,2.58,-0.67,-1.82,0.92,-3.26,-17.35,-64.18,8293
6.23,-5.81,1.31,-0.20,-2.17,0.85,-5.90,-17.04,-63.52,8328
-2.39,8.74,8.04,2.95,-1.68,-1.13,-8.29,-17.92,-62.82,8362
-1.40,-5.24,8.36,1.45,0.53,-1.57,-10.26,-19.94,-62.67,8396
14.82,-11.78,-3.66,0.73,-1.32,-1.50,-12.35,-21.69,-62.28,8430
1.18,-13.23,1.46,1.01,1.46,-0.43,-10.64,-22.83,-62.41,8464
0.25,-10.73,-2.41,1.25,0.86,-0.18,-9.24,-24.60,-62.88,8499
0.53,-11.73,-4.22,0.97,0.16,-0.36,-8.73,-26.16,-62.10,8533
-8.22,-12.60,-6.68,1.01,1.51,-1.08,-5.99,-27.61,-62.26,8567
0.78,-15.42,-6.85,1.16,0.00,-2.03,-5.06,-29.92,-62.72,8601
5.44,-10.87,-4.94,1.48,0.89,-2.74,-3.55,-32.46,-61.84,8635
0.07,-11.24,-1.84,0.70,-0.15,-2.95,-1.05,-33.81,-62.38,8669
-3.85,-7.51,-1.33,0.56,-1.83,-2.54,-1.55,-34.43,-62.61,8704
1.75,-3.38,-1.61,-0.11,-3.77,-1.52,-5.03,-34.96,-62.36,8738
1.21,-2.88,-1.18,-0.26,-3.45,0.02,-9.69,-34.62,-61.22,8772
4.03,-3.93,-1.45,-0.36,-2.92,1.07,-14.19,-33.03,-61.02,8806
4.08,-5.68,0.62,-0.21,-2.04,2.11,-18.81,-30.77,-59.46,8840
3.01,-8.38,-0.73,-0.18,-2.51,2.47,-22.95,-28.88,-58.32,8875
3.51,-9.31,-1.50,0.02,-3.17,2.44,-28.40,-25.30,-55.03,8909
7.90,-10.45,-2.82,0.06,-2.88,2.28,-32.56,-22.76,-52.22,8943
6.79,-10.68,-3.84,-0.11,-1.31,2.10,-35.38,-19.82,-50.41,8977
4.85,-11.20,-1.46,-0.30,0.15,1.42,-35.49,-16.47,-50.44,9011
